SOTA-REF,COUNTY,STATE
W7I/CU-301,CUSTER,ID
W7I/CU-302,CUSTER,ID
W7I/CU-303,CUSTER,ID
W7I/CU-304,CUSTER,ID
W7I/CU-305,CUSTER,ID
W7I/CU-306,CUSTER,ID
W7I/CU-307,CUSTER,ID
W7I/CU-308,CUSTER,ID
W7I/CU-309,CUSTER,ID
W7I/CU-310,CUSTER,ID
W7I/CU-311,CUSTER,ID
W7I/CU-312,CUSTER,ID
W7I/CU-313,CUSTER,ID
W7I/CU-314,CUSTER,ID
W7I/CU-315,CUSTER,ID
W7I/CU-316,CUSTER,ID
W7I/CU-317,CUSTER,ID
W7I/CU-318,CUSTER,ID
W7I/CU-319,CUSTER,ID
W7I/CU-320,CUSTER,ID
W7I/CU-321,CUSTER,ID
W7I/CU-322,CUSTER,ID
W7I/CU-323,CUSTER,ID
W7I/CU-324,CUSTER,ID
W7I/CU-325,CUSTER,ID
W7I/CU-326,CUSTER,ID
W7I/CU-327,CUSTER,ID
W7I/CU-328,CUSTER,ID
W7I/CU-329,CUSTER,ID
W7I/CU-330,CUSTER,ID
W7I/CU-331,CUSTER,ID
W7I/CU-332,CUSTER,ID
W7I/CU-333,CUSTER,ID
W7I/CU-334,CUSTER,ID
W7I/CU-335,CUSTER,ID
W7I/CU-336,CUSTER,ID
W7I/CU-337,CUSTER,ID
W7I/CU-338,CUSTER,ID
W7I/CU-339,CUSTER,ID
W7I/CU-340,CUSTER,ID
W7I/CU-341,CUSTER,ID
W7I/CU-342,CUSTER,ID
W7I/CU-343,CUSTER,ID
W7I/CU-344,CUSTER,ID
W7I/CU-345,CUSTER,ID
W7I/CU-346,CUSTER,ID
W7I/CU-347,CUSTER,ID
W7I/CU-348,CUSTER,ID
W7I/CU-349,CUSTER,ID
W7I/CU-350,CUSTER,ID
W7I/CU-351,CUSTER,ID
W7I/CU-352,CUSTER,ID
W7I/CU-353,CUSTER,ID
W7I/CU-354,CUSTER,ID
W7I/CU-355,CUSTER,ID
W7I/CU-356,CUSTER,ID
W7I/ER-001,CLARK,ID
W7I/ER-002,CLARK,ID
W7I/ER-004,CLARK,ID
W7I/ER-006,CLARK,ID
W7I/ER-010,FREMONT,ID
W7I/ER-011,BONNEVILLE,ID
W7I/ER-012,CLARK,ID
W7I/ER-013,BONNEVILLE,ID
W7I/ER-014,BONNEVILLE,ID
W7I/ER-017,FREMONT,ID
W7I/ER-018,CLARK,ID
W7I/ER-020,CLARK,ID
W7I/ER-021,BONNEVILLE,ID
W7I/ER-022,BONNEVILLE,ID
W7I/ER-023,BONNEVILLE,ID
W7I/ER-025,CLARK,ID
W7I/ER-027,FREMONT,ID
W7I/ER-028,CLARK,ID
W7I/ER-029,CLARK,ID
W7I/ER-030,BONNEVILLE,ID
W7I/ER-031,BONNEVILLE,ID
W7I/ER-032,BONNEVILLE,ID
W7I/ER-033,BONNEVILLE,ID
W7I/ER-034,CLARK,ID
W7I/ER-035,BONNEVILLE,ID
W7I/ER-036,CLARK,ID
W7I/ER-038,CLARK,ID
W7I/ER-040,CLARK,ID
W7I/ER-041,TETON,ID
W7I/ER-042,TETON,ID
W7I/ER-043,BONNEVILLE,ID
W7I/ER-044,BONNEVILLE,ID
W7I/ER-045,BONNEVILLE,ID
W7I/ER-046,CLARK,ID
W7I/ER-047,TETON,ID
W7I/ER-048,BONNEVILLE,ID
W7I/ER-050,BONNEVILLE,ID
W7I/ER-051,CLARK,ID
W7I/ER-053,FREMONT,ID
W7I/ER-054,TETON,ID
W7I/ER-056,BONNEVILLE,ID
W7I/ER-058,CLARK,ID
W7I/ER-059,BONNEVILLE,ID
W7I/ER-060,CLARK,ID
W7I/ER-061,BONNEVILLE,ID
W7I/ER-062,BONNEVILLE,ID
W7I/ER-063,BONNEVILLE,ID
W7I/ER-064,FREMONT,ID
W7I/ER-066,TETON,ID
W7I/ER-067,BONNEVILLE,ID
W7I/ER-070,BONNEVILLE,ID
W7I/ER-071,CLARK,ID
W7I/ER-072,MADISON,ID
W7I/ER-073,MADISON,ID
W7I/ER-074,BONNEVILLE,ID
W7I/ER-075,BONNEVILLE,ID
W7I/ER-076,BONNEVILLE,ID
W7I/ER-077,BONNEVILLE,ID
W7I/ER-078,CLARK,ID
W7I/ER-079,FREMONT,ID
W7I/ER-080,CLARK,ID
W7I/ER-081,MADISON,ID
W7I/ER-082,BONNEVILLE,ID
W7I/ER-083,BONNEVILLE,ID
W7I/ER-084,BONNEVILLE,ID
W7I/ER-085,CLARK,ID
W7I/ER-086,BONNEVILLE,ID
W7I/ER-087,BONNEVILLE,ID
W7I/ER-088,CLARK,ID
W7I/ER-089,BONNEVILLE,ID
W7I/ER-090,BONNEVILLE,ID
W7I/ER-091,BONNEVILLE,ID
W7I/ER-093,FREMONT,ID
W7I/ER-094,FREMONT,ID
W7I/ER-095,BONNEVILLE,ID
W7I/ER-096,FREMONT,ID
W7I/ER-097,FREMONT,ID
W7I/ER-100,CLARK,ID
W7I/ER-101,BONNEVILLE,ID
W7I/IC-001,IDAHO,ID
W7I/IC-002,IDAHO,ID
W7I/IC-003,IDAHO,ID
